sentence,gt
ইংরেজি ভাষা ও সাহিত্যের খ্যাতনামা অধ্যাপক ও শহীদ বুদ্ধিজীবী জ্যোতির্ময় গুহঠাকুরতার মৃত্যুৃবার্ষিকীতে আমাদের শ্রদ্ধাঞ্জলি।,ইংরেজি ভাষা ও সাহিত্যের খ্যাতনামা অধ্যাপক ও শহীদ বুদ্ধিজীবী জ্যোতির্ময় গুহঠাকুরতার মৃত্যুৃবার্ষিকীতে আমাদের শ্রদ্ধাঞ্জলি।
কিন্তু পড়ালেখার জন্য আমি তখন ঢাকায় থাকি।,কিন্তু পড়ালেখার জন্য আমি তখন ঢাকায় থাকি।
তাই উচ্চ রক্তচাপ ও হৃদ্রোগীদের জন্য এটি ক্ষতিকর হতে পারে।,তাই উচ্চ রক্তচাপ ও হৃদ্রোগীদের জন্য এটি ক্ষতিকর হতে পারে।
ফট করে ফিরে যাবে ঘরে!,ফট করে ফিরে যাবে ঘরে!
"বাজার পর্যন্ত যখন আসেন, তখন আমার এ কথাটি রাখেন।","বাজার পর্যন্ত যখন আসেন, তখন আমার এ কথাটি রাখেন।"
একদিন বোম্বে থেকে কিছু কাপড় আমদানির জন্যে অনুমতিপত্র চেয়ে আবেদন করল সে।,একদিন বোম্বে থেকে কিছু কাপড় আমদানির জন্যে অনুমতিপত্র চেয়ে আবেদন করল সে।
এরই নাম ’ড্রিম ল্যান্ড কটেজ’।,এরই নাম ’ড্রিম ল্যান্ড কটেজ’।
দেশে বনাঞ্চলের পরিমান আশংকাজনক ভাবে কমে গেছে।,দেশে বনাঞ্চলের পরিমান আশংকাজনক ভাবে কমে গেছে।
আনন্দ ও শিশুবান্ধব পরিবেশ ছাড়া তার সুপ্ত প্রতিভার বিকাশ অসম্ভব।,আনন্দ ও শিশুবান্ধব পরিবেশ ছাড়া তার সুপ্ত প্রতিভার বিকাশ অসম্ভব।
অটোওয়ালা আমাদের ঘুরাতে পেরে খুব উৎফুল্ল।,অটোওয়ালা আমাদের ঘুরাতে পেরে খুব উৎফুল্ল।
২০০১ সালের আদমশুমারিতে দেশের মানুষের সংখ্যা ছিল ১২ কোটি ৪৩ লাখ ৫৫ হাজার।,২০০১ সালের আদমশুমারিতে দেশের মানুষের সংখ্যা ছিল ১২ কোটি ৪৩ লাখ ৫৫ হাজার।
